SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
osupel	0	0	0	0	0	0	0	0	0	0
abak	0	0	0	0	0	0	0	0	0	1
opustiti, zapustiti, prekiniti, prenehati	0	1	0	0	0	1	0	1	0	0
opuščen, zapuščen, prekinjen, zavržen	0	1	1	0	0	1	0	1	0	0
opustitev, zapustitev	0	1	1	0	0	1	0	1	1	0
popustiti	0	0	0	0	0	0	0	0	0	0
popuščanje	0	0	0	0	0	0	0	0	0	0
Abba	1	0	0	0	0	0	0	0	0	0
opat	0	0	0	0	0	0	0	0	0	1
okrajšati	0	0	0	0	0	0	0	0	0	0
okrajšava	0	0	0	0	0	0	0	0	0	0
trebuh	0	0	0	0	0	0	0	0	0	0
trebušen	0	0	0	0	0	0	0	0	0	0
ugrabitev	0	1	0	0	0	1	0	1	1	0
napačen	0	1	0	0	0	0	0	0	0	0
aberacija, odstopanje	0	1	0	0	1	0	0	0	0	0
odlog	0	0	0	0	0	0	0	0	0	0
prezirati	0	1	1	0	1	1	0	0	0	0
zoprn, gnusen	0	1	1	0	1	1	0	0	0	0
prenesti	0	0	0	0	0	0	0	0	0	0
sposobnost, zmožnost	1	0	0	0	0	0	0	0	0	0
beden, obupen, ponižen	0	1	0	0	1	0	0	0	0	0
ablacija, odstranitev	0	0	0	0	0	0	0	0	0	0
goreti	0	0	0	0	0	0	0	0	0	0
nenormalen, neobičajen, nenavaden	0	1	0	0	1	0	0	0	0	0
na krovu	0	0	0	0	0	0	0	0	0	0
prebivališče, dom	0	0	0	0	0	0	0	0	0	0
ukiniti, odpraviti, razveljaviti	0	1	1	0	0	0	0	0	0	0
ukinitev, razveljavitev	0	1	0	0	0	0	0	0	0	0
gnusen, odvraten, grozen	0	1	0	0	1	1	0	0	0	0
gnusoba, ogabnost, gamad, golazen, gamat	0	1	1	0	1	1	0	0	0	0
aboridžinski, staroselski	0	0	0	0	0	0	0	0	0	0
prekiniti, splaviti	0	1	0	0	0	0	0	0	0	0
splav, izrodek	0	1	0	0	1	1	0	1	0	0
neuspešen, spodletel, ponesrečen	0	1	0	0	0	0	0	1	0	0
obilen	0	0	0	0	0	0	0	0	0	0
zgoraj omenjen	1	0	0	0	0	0	0	0	0	0
odrgnina, praska	0	1	0	0	0	0	0	0	0	0
v tujini	0	0	0	0	0	0	0	0	0	0
odpraviti, razveljaviti, ukiniti, opustiti	0	1	0	0	0	0	0	0	0	0
nenaden	0	0	0	0	0	0	0	0	1	0
nenadno	0	0	0	0	0	0	0	0	0	0
absces, ognojek	0	1	0	0	0	0	0	1	0	0
odsotnost, pomanjkanje	0	1	0	0	0	1	0	1	0	0
odsoten, zamišljen	0	1	0	0	0	0	0	1	0	0
manjkajoč	0	1	0	0	0	0	0	1	0	0
izostajanje	0	1	0	0	0	0	0	0	0	0
absint	0	0	0	0	0	0	0	0	0	0
absoluten, popoln	1	0	0	0	0	0	0	0	0	0
odveza, odrešenje	1	0	0	0	0	0	1	0	0	1
absorbiran	1	0	0	0	0	0	0	0	0	0
absorptiven, vpojen	0	0	0	0	0	0	0	0	0	0
privlačen, zanimiv	0	0	0	0	0	0	0	0	0	0
vpijanje, absorpcija	0	0	0	0	0	0	0	0	0	0
vzdržati, odpovedati se	0	0	0	0	0	0	0	0	0	0
vzdržanost	0	0	0	0	0	0	0	0	0	0
abstinenca	0	0	0	0	0	0	0	0	0	0
abstrakten	0	0	0	0	0	0	0	0	0	0
abstrakcija	0	0	0	0	0	0	0	0	0	0
absurden, nesmiseln	0	1	0	0	0	0	0	0	0	0
absurd, nesmisel	0	1	0	0	0	0	0	0	0	0
obilje, obilica	1	1	0	1	1	0	1	0	0	1
obilen, bogat	1	0	0	0	0	0	1	0	0	0
zloraba, mučenje, izkoriščati, zlorabiti, kršiti	0	1	1	0	1	1	0	1	0	0
opornica	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
grozen, obupen	0	1	0	0	0	0	0	1	0	0
brezno	0	1	0	0	0	1	0	1	0	0
akademski	1	0	0	0	0	0	0	0	0	1
akademija	1	0	0	0	0	0	0	0	0	0
pristopiti	0	0	0	0	0	0	0	0	0	0
pospešiti	0	0	0	1	0	0	0	0	0	0
pospešek	0	0	0	0	0	0	0	0	0	0
