"English (en)...1"	"German (de)"	"Slovenian (sl)"	"Positive"	"Negative"	"Anger"	"Anticipation"	"Disgust"	"Fear"	"Joy"	"Sadness"	"Surprise"	"Trust"
"aback"	"zurück"	"Nadaljuj"	0	0	0	0	0	0	0	0	0	0
"abacus"	"Abakus"	"abakus"	0	0	0	0	0	0	0	0	0	1
"abandon"	"verlassen"	"opusti"	0	1	0	0	0	1	0	1	0	0
"abandoned"	"verlassen"	"opuščeni"	0	1	1	0	0	1	0	1	0	0
"abandonment"	"Aufgabe"	"opustitev"	0	1	1	0	0	1	0	1	1	0
"abate"	"ablassen"	"zmanjšati"	0	0	0	0	0	0	0	0	0	0
"abatement"	"Minderung"	"zmanjšanje"	0	0	0	0	0	0	0	0	0	0
"abba"	"abba"	"abba"	1	0	0	0	0	0	0	0	0	0
"abbot"	"Abt"	"opat"	0	0	0	0	0	0	0	0	0	1
"abbreviate"	"abkürzen"	"okrajšava"	0	0	0	0	0	0	0	0	0	0
"abbreviation"	"Abkürzung"	"okrajšava"	0	0	0	0	0	0	0	0	0	0
"abdomen"	"Abdomen"	"trebuh"	0	0	0	0	0	0	0	0	0	0
"abdominal"	"Bauch"	"trebuh"	0	0	0	0	0	0	0	0	0	0
"abduction"	"Entführung"	"ugrabitev"	0	1	0	0	0	1	0	1	1	0
"aberrant"	"anomal"	"aberrant"	0	1	0	0	0	0	0	0	0	0
"aberration"	"Abweichung"	"aberacija"	0	1	0	0	1	0	0	0	0	0
"abeyance"	"Schwebe"	"opustitev"	0	0	0	0	0	0	0	0	0	0
"abhor"	"verabscheuen"	"Odguba"	0	1	1	0	1	1	0	0	0	0
"abhorrent"	"abscheulich"	"Odvratno"	0	1	1	0	1	1	0	0	0	0
"abide"	"verweilen"	"Ostani"	0	0	0	0	0	0	0	0	0	0
"ability"	"Fähigkeit"	"sposobnost"	1	0	0	0	0	0	0	0	0	0
"abject"	"abwesend"	"abject"	0	1	0	0	1	0	0	0	0	0
"ablation"	"Ablation"	"ablacija"	0	0	0	0	0	0	0	0	0	0
"ablaze"	"in Flammen"	"plamen"	0	0	0	0	0	0	0	0	0	0
"abnormal"	"abnormal"	"nenormalno"	0	1	0	0	1	0	0	0	0	0
"aboard"	"an Bord"	"na krovu"	0	0	0	0	0	0	0	0	0	0
"abode"	"Aufenthalt"	"bivanje"	0	0	0	0	0	0	0	0	0	0
"abolish"	"abschaffen"	"ukiniti"	0	1	1	0	0	0	0	0	0	0
"abolition"	"Abschaffung"	"ukinitev"	0	1	0	0	0	0	0	0	0	0
"abominable"	"abscheulich"	"gnusno"	0	1	0	0	1	1	0	0	0	0
"abomination"	"Gräuel"	"gnusoba"	0	1	1	0	1	1	0	0	0	0
"aboriginal"	"Ureinwohner"	"Aboriginalna"	0	0	0	0	0	0	0	0	0	0
"abort"	"abbrechen"	"prekiniti"	0	1	0	0	0	0	0	0	0	0
"abortion"	"Abtreibung"	"splav"	0	1	0	0	1	1	0	1	0	0
"abortive"	"abtreibend"	"neuspešna"	0	1	0	0	0	0	0	1	0	0
"abound"	"im Überfluss"	"obilo"	0	0	0	0	0	0	0	0	0	0
"abovementioned"	"NO TRANSLATION"	"NO TRANSLATION"	1	0	0	0	0	0	0	0	0	0
"abrasion"	"Abrieb"	"abrazija"	0	1	0	0	0	0	0	0	0	0
"abroad"	"im Ausland"	"v tujini"	0	0	0	0	0	0	0	0	0	0
"abrogate"	"aufheben"	"razveljaviti"	0	1	0	0	0	0	0	0	0	0
"abrupt"	"abrupt"	"nenaden"	0	0	0	0	0	0	0	0	1	0
"abruptly"	"plötzlich"	"nenadoma"	0	0	0	0	0	0	0	0	0	0
